category,context,questions,nr
placeholder,"Frederik har svært ved at komme i gang med sine opgaver. <br><br>Han deltager i faglige samtaler og stiller spørgsmål i timerne. Men når han selv skal yde noget aktivt, så går han i stå. Frederiks underviser synes, at han har prøvet alt og ved ikke længere, hvad han skal stille op. <br><br>",<i>Kan I genkende situationen? Hvad gjorde I for at støtte eleven?<br><br>Hvad kan man generelt gøre for at støtte elever som Frederik?<br><br>Er der noget en mentor kan gøre for at støtte eleven og underviserens arbejde?<br><br></i>,11
placeholder,"Sashas underviser har en mistanke om, at Sasha har et hashmisbrug. Sasha har højt fravær og er ofte meget træt og uengageret i undervisningen.","<i>Hvilke redskaber kan man bruge til at engagere elever med højt fravær?<br><br>Hvad gør man, når man fornemmer, at en elev har et misbrug?<br><br>Hvornår skal man tage fat i skolens psykoterapeut for at få hjælp?</i>",12
placeholder,"Martin har ADHD og har - som den eneste i klassen - ikke fået søgt valgfag.<br><br>Martins underviser har tilbudt at hjælpe ham med ansøgningen, men Martin har afvist hjælpen, og siger at han godt selv kan klare det. Han har svært ved at erkende og gøre noget ved, når har brug for hjælp.<br><br>","<i>Hvordan støtter man bedst elever i processen med deadlines?<br><br>Hvordan opdager man dem, som ikke selv siger, at de har brug for hjælp?<br><br>Hvordan hjælper man elever, som ikke erkender, at de har brug for hjælp?<br><br></i>",13
placeholder,"Sofie er stille og indadvendt, og hun undgår så vidt muligt alle former for gruppearbejde. Når hun ikke kan undgå gruppearbejdet kan hun blive helt passiv uden at sige noget.<br><br>Når hun engang i mellem er aktiv i gruppearbejdet ignorerer hun ofte, hvad de andre siger og står meget fast på sin egen overbevisning fx om hvordan en problemstilling skal løses.<br><br>","<i>Har I 2-3 råd til, hvordan man bedst skaber det gode gruppearbejde?<br><br>Hvordan kan man motivere elever som Sofie til at indgå i gruppearbejde?<br><br>Hvordan afgør man, hvem der (ikke) kan indgå i gruppearbejde sammen?<br><br></i>",14
placeholder,"Kaj har svært ved at danne sig et overblik over, hvad han skal i løbet af ugen. Han har altid haft svært ved at koncentrere sig og bliver hurtig træt. <br><br>Kaj har en søn, der kræver meget opmærksomhed, og Kaj oplever ofte, at han ikke har energi til at forberede sig til skolen og få lavet sine lektier. <br><br>","<i>Hvordan plejer I at hjælpe elever, som har svært ved at få lavet lektier?<br><br>Hvordan hjælper man elever med at få skabt struktur over hverdagen?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter elever med børn?<br><br></i>",15
placeholder,"Hanin har en depression. Det har været et hårdt år for hende, og nu er hendes kæreste lige gået fra hende. <br><br>Hun lukker sig meget ind i sig selv og har svært ved at passe sin skolegang. Hun er ellers dygtig fagligt og kan, i perioder uden depression, godt lide at gå i skole.<br><br>","<i>Kan I genkende situationen fra andre elever?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter elever med depression?<br><br>Hvordan kan man hjælpe hende med at trives, så hun ikke dropper ud?</i>",16
placeholder,"Herluf er tidligere gået ned med stress. Han døjer stadig med eftervirkninger såsom hjernetåge, træthed og koncentrationsbesvær. <br><br>Herluf ønsker hjælp til at strukturere sin tid bedst muligt, så han undgår at gå ned med stress igen. <br><br> ","<i>Har I 2-3 gode råd til, hvordan man bedst støtter tidligere stressramte elever?<br><br>Hvordan kan man som underviser eller mentor hjælpe med, at forebygge mod stress hos elever? <br><br></i>",17
placeholder,"Pernille har meget svært ved at indgå i sociale fællesskaber. <br><br>Pernille føler sig ensom, og hun ville ønske, at hun havde nogle flere venner i klassen.<br><br>","<i>Hvordan kan man hjælpe elever som Pernille med at falde bedre til i klassen?<br><br>Kan hendes underviser eller eventuelle mentor gøre noget for, at hjælpe hende godt på vej?<br><br></i>",18
placeholder,"Helga bor for sig selv, da hendes familie bor på Island. Helga har netop fået tilbudt individuel støtte, da hun får hyppige angstanfald og ikke trives særligt godt. <br><br>Hendes mentor føler sig magtesløs og har svært ved at finde ud af, hvordan hun kan hjælpe, da Helga ofte aflyser støttetimerne med kort varsel.","<i>Hvordan kan man motivere elever som Helga til at tage imod støtten?<br><br>Hvad er 2-3 gode råd til mentor i arbejdet med angst?<br><br>Er der nogen, mentor bør kontakte i denne situation fx kolleger, forældre?<br><br></i>",19
placeholder,,<i>Hvordan hjælper vi elever med at få gavn af IT-hjælpemidlerne i dag?<br><br>Hvordan kan undervisere og mentor hjælpe ordblinde elever med eksamensangst?<br><br></i>,20
placeholder,"Karoline har ADD og synes, at lektierne er meget hårde at komme igennem. Hun har længe ønsket sig en uddannelse, men er blevet i tvivl om, hvorvidt det er det rigtige for hende.","<i>Hvad er vigtigt, når man skal støtte psykisk udfordrede elever?<br><br>Har du et konkret eksempel, hvor støtten gik godt? Hvorfor?<br><br>Hvornår er det (ikke) OK, at lade en elev melde sig ud?<br><br></i>",21
placeholder,"Storm er nonbinær og ønsker, at alle siger “de/dem” som pronomen i stedet for “han/ham” . <br><br>Nogle af Storms klassekammerater siger alligevel “han” om Storm, hvilket gør Storm meget frustrereret og ked af det.","<i>Hvad er jeres erfaringer med elever, der identificerer sig som nonbinære?<br><br>Hvad er 2-3 råd til at få elever som Storm til at trives socialt i klassen?<br><br>Er der behov for en fælles retningslinje i teamet om dette? <br><br></i>",22
placeholder,"Roman har flere års erfaringer fra forskellige jobs, men er startet på uddannelsen efter en periode som arbejdsløs.<br><br>På skolen sidder han ofte for sig selv med hovedtelefoner på, og det er svært at få øjenkontakt med ham.<br><br>","<i>Hvornår og hvordan støtter undervisere og mentorer bedst elever som Roman? Hvornår er det OK, at elever IKKE indgår i de sociale fællesskaber?</i>",23
placeholder,"Christina har OCD, men har ikke fortalt om det til andre elever. <br><br>Flere fra klassen har dog bemærket, at hun ofte vasker sine hænder mange gange om dagen. Hun savner at være en del af fællesskabet i klassen, men har svært ved at snakke med de andre.<br><br>","<i>Hvordan støtter man elever, der ikke er åbne om deres diagnose(r)?<br><br>Hvordan støtter man bedst elever med tvangshandlinger eller lignende?<br><br></i>",24
placeholder,"Ahmed er både socialt og fagligt meget udfordret. Hans underviser tror ikke, at han kan gennemføre uddannelsen, medmindre at skolen handler og gør noget snart. <br><br>En mentor, som har set Ahmed i undervisningen, er enig med underviser, men de kan se, at han ikke er blevet tildelt SPS ved skolestart.<br><br>","<i>Kan du genkende situationen fra elever, du har mødt? <br><br>Hvordan afklarer skolen om elever uden en diagnose kan modtage SPS?<br><br>Hvad foreslår du, at underviser og mentor gør ved Ahmeds situation?<br><br></i>",25
placeholder,"Katinka har angst og har svært ved at indgå i et klassefællesskab, da store forsamlinger gør hende utryg. Hun vil gerne have hjælp, så hun kan trives bedre i skolen.<br><br>Katinka har kun modtaget individuel SPS, men hendes mentor overvejer at give SPS i undervisningen, for at få et bedre indtryk af Ulrikke i klassen og klassedynamikken generelt.<br><br>","<i>Hvordan bruges SPS i undervisningen på jeres skole? Hvad virker godt/skidt? Hvordan samabejder mentor med underviser? Hvad må deles om eleven? Hvordan ville du være med i undervisningen, hvis du var Katinkas mentor?</i>",26
placeholder,"Albert modtager SPS, da han er ordblind og psykisk sårbar. Han fandt først ud af, at han var ordblind ifm. skolestart og har både brug for en introduktion af IT-redskaberne til ordblinde samt løbende støtte.<br><br>Hans mentor vurderer, at Albert godt kan deltage i et SPS-hold med flere elever, som også skal sættes ind i de læse- og skriveredskaberne. Albert er dog skeptisk og vil helst have al støtte individuelt.<br><br>","<i>Hvad er fordele og ulemper ved at bruge SPS-hold til ordblinde elever? <br><br>Hvordan vurderer man bedst om en elev vil få gavn af et SPS-hold?<br><br>I hvilke situationer er det bedst, at eleven kun får individuel støtte?<br><br></i>",27
placeholder,"Mehran har modtaget individuel støtte sidste skoleår, og det er nu tid til at evaluere forløbet inden han starter op på næste.<br><br>Samtaleforløbet er gået godt, men han har ofte svært ved selv at sætte ord på, hvad han har brug for hjælp til.<br><br>","<i>Hvordan evaluerer man bedst et samtaleforløb sammen med en elev?<br><br>Har du et konkret eksempel, hvor evaluering sammen med en elev er gået særligt godt? <br><br>Er der andre personer, der kan være nyttige at inddrage i evalueringen? fx forældre, undervisere</i>",28
