category,context,questions,nr
placeholder,"Nohr kommer til at snakke i undervisningen.<br><br>En anden elev udbryder: “kan du ikke gå udenfor - vi er nogle, der gerne vil lære det?!""","<i>Er det vigtigt for jer, at der er stille i undervisningen?<br><br>Hvorfor? Hvorfor ikke?</i>",14
placeholder,"Der er noget i dagens lektie, som Sofie ikke har forstået.<br><br>Hun er nervøs for at række hånden op og spørge læreren om det, hun ikke forstår.",<i>Kan I genkende Sofies situation?<br><br>Hvad ville I gøre?</i>,15
placeholder,"Frederik er non-binær og vil gerne kaldes ""de"" i stedet for ""ham"". <br><br>Alle på holdet har taget godt imod det, men lærerne siger ""ham"" til Frederik, hvilket de synes er ubehageligt.","<i>Hvad vil I råde Frederik til at gøre? <br><br>Har I talt om, hvordan I taler til hinanden?</i>",16
placeholder,"En gruppe elever deltager ikke i undervisningen, og de larmer og forstyrrer resten af holdet. <br><br>Det irriterer Stephanie, og hun har svært ved at koncentrere sig.","<i>Er det vigtigt, at alle elever deltager i undervisningen?<br><br>Hvorfor? Hvorfor ikke?<br><br></i>",17
placeholder,"Marie er i en gruppe, som ikke deltager aktivt i undervisningen. <br><br>Hun vil gerne skifte til en anden gruppe, der arbejder effektivt sammen, men er bange for, hvordan hendes nuværende gruppe reagerer.",<i>Hvilke muligheder har Marie?<br><br>Hvad er vigtigt for jer i et gruppearbejde?</i>,18
placeholder,"Martin har svært ved at læse sine lektier, da han er ordblind. <br><br>Han er blevet tilbudt læsevejledning, men vil ikke skille sig ud.",<i>Hvorfor kan dette være svært?<br><br>Hvad ved I om SPS?</i>,19
placeholder,"Søren har ADHD og bliver nemt ufokuseret i undervisningen. <br><br>Det irriterer ham, for han vil gerne blive følge med og blive klogere.",<i>Hvilke muligheder har Søren? <br><br>Hvem kan man gå til for at få SPS-støtte på jeres skole?</i>,20
placeholder,"Der er en elev, der taler ubehageligt til Laura og ikke vil samarbejde med hende. ","<i>Hvad ville I gøre, hvis I var Laura? <br><br>Hvad kan man gøre for at få et godt samarbejde på holdet?</i>",21
placeholder,"Jamal har erfaringer fra en tidligere uddannelse. <br><br>Han har meget at byde ind med, men vil ikke fremstå bedrevidende overfor resten af holdet.","<i>Hvad er fordele og ulemper ved, at nogle elever har mere erfaring end andre?</i>",22
placeholder,"Louis føler sig udenfor på holdet.<br><br>De vil rigtig gerne være en del af fællesskabet, men synes det er svært at danne nye relationer. ","<i>Hvad kan Louis gøre?<br><br>Hvordan sørger I for, at alle på holdet er en del af fællesskabet?</i>",23
placeholder,"Naomi har svært ved dansk, og synes at læreren taler for hurtigt. <br><br>Hun vil ikke forstyrre, men vil gerne have mere ud af undervisningen.",<i>Kan I genkende situationen?<br><br>Hvad ville I gøre?</i>,24
placeholder,"Anna er meget motiveret for at gennemføre uddannelsen. <br><br>Hun har kærestesorger, og det gør, at hun har svært ved følge med i undervisningen.",<i>Hvem på skolen kan Anna tale med om dette?<br><br>Hvad ville I gøre?</i>,25
placeholder,"Et af Bjørns nære familiemedlemmer er alvorlig syg, og det påvirker ham meget.<br><br>Han har ikke overskud til at læse sine lektier og bliver ofte hjemme fra timerne, men han ønsker ikke at droppe ud.",<i>Hvad ville I gøre?<br><br>Hvem ville I tale med om dette?</i>,26
placeholder,"Klaus er træt af, at det altid er ham, der skal tage initiativ til at få lavet noget i gruppen. <br><br>De andre regner altid med, at han tager ansvar og styring. ","<i>Hvad ville I gøre, hvis I var Klaus? <br><br>Hvad er en god måde, at fordele ansvaret i gruppearbejde?</i>",27
placeholder,"En af Alexanders holdkammerater snakker meget om, at hun er nervøs for at fremlægge. <br><br>Alexander vil gerne hjælpe hende, men er i tvivl om, hvordan han skal hjælpe.","<i>Hvordan kan I hjælpe hinanden med dette?<br><br>Er der noget på uddannelsen, I er nervøse for?</i>",28
placeholder,"Julie vil gerne blive bedre til at snakke med underviserne, men har svært ved at stole på dem på grund af tidligere erfaringer.",<i>Hvad kan hun gøre for at få det bedre med sine undervisere? <br><br>Hvordan er jeres forhold til underviserne?</i>,29
placeholder,"Mads har ordblindhed og får læsevejledning. <br><br>Han synes, at gruppearbejdet går for hurtigt, men er nervøs for at sige det til hans gruppe.","<i>Hvad kan Mads gøre?<br><br>Hvordan sørger I for, at alle kan være med til gruppearbejdet?</i>",30
placeholder,"Jamilla er vant til at få høje karakterer, men får pludselig en karakter, som hun er utilfreds med.<br><br>Hun bliver skuffet og mister modet.",<i>Hvad kan Jamilla gøre for at komme videre? <br><br>Er det vigtigt for jer at få gode karaktere? Hvorfor? Hvorfor ikke?</i>,31
placeholder,"Flere på Aminas hold taler meget om, hvad de vil uddanne sig til eller arbejde med, efter denne uddannelse. <br><br>Amina ved ikke hvad hun vil efter, og bliver frustreret over at hun ikke har en plan.","<i>Hvad vil I råde Amina til? <br><br>Er det vigtigt for jer at have en plan for, hvad I skal efter denne uddannelse? Hvorfor? Hvorfor ikke?</i>",32
placeholder,"Youssef skal skifte hold, til en der fagligt matcher hans interesser bedre. <br><br>Han har social angst og er nervøs for at skulle starte på et nyt hold, så han overvejer om det er det værd.",<i>Hvad vil I råde Youssef til?<br><br>Hvorfor kan det være svært at starte et nyt sted?</i>,33
placeholder,"Frederikke er den yngste på sit hold.<br><br>De andre er ældre end hende og har andre interesser. Hun synes det er svært, hvad hun skal tale med sine holdkammerater om.",<i>Hvad kan Frederikke gøre?<br><br>Hvilke interesser har I tilfælles i jeres gruppe?</i>,34
placeholder,"Kamilla får endnu ikke SU, som mange af hendes holdkammerater. <br><br>Hun har derfor ikke råd til at lave det samme som dem, men er også bange for ikke at være en del af fællesskabet.","<i>Hvad vil I råde Kamilla til?<br><br>Hvem kan I tale med økonomi om, når I er under uddannelse?</i>",35
placeholder,"Louise er glad for sit hold, men nogle gange siger hendes holdkammerater racistiske jokes, og det går hende på.",<i>Hvad vil I råde Louise til at gøre? <br><br>Hvordan kan man sige fra overfor sine holdkammerater?</i>,36
placeholder,"Lucia har svært ved at møde kl. 8, fordi hun ofte er meget træt om morgenen. <br><br>Hendes fravær vokser, og Lucia er bange for at blive smidt ud.",<i>Hvad kan Lucia gøre?<br><br>Hvordan får I mødetiderne til at passe med jeres liv?</i>,37
placeholder,"Tim har svært ved at forstå sin undervisers dialekt, og det er ikke altid, at han forstår, hvad hun siger.<br><br>Han er nervøs for at fortælle det, fordi han ikke vil være til besvær. ",<i>Hvad vil I råde Tim til at gøre? <br><br>Er det vigtigt at have et godt forhold til jeres undervisere?</i>,38
placeholder,"Ibens chef tilbyder hende at få flere timer på hendes studiejob. <br><br>Iben er glad for sit arbejde og kunne godt bruge pengene, men er nervøs for at komme bagud i skolen.",<i>Hvilke muligheder har Iben?<br><br>Har I et arbejde ved siden af jeres uddannelse? Hvorfor? Hvorfor ikke?</i>,39
placeholder,"Chris synes, at det er kedeligt at gå i skole.<br><br>Han er blevet i tvivl om uddannelsen er det rigtige for ham.","<i>Hvem kan I tale med, hvis I bliver i tvivl om jeres uddannelse?</i>",40
placeholder,"Iman har svært ved at samarbejde med en anden elev.<br><br>De er ofte uenige om, hvordan de skal løse opgaverne.",<i>Hvad kan Iman gøre?<br><br>Hvordan kan I godt lide at samarbejde?</i>,41
placeholder,"Freja er festryger, men har lyst til at stoppe. <br><br>Hendes tætteste holdkammerater er faste rygere, og hun er nervøs for at falde i, når de går ud for at ryge i pauserne. ",<i>Kan I genkende situationen?<br><br>Hvad vil I råde Freja til?</i>,42
placeholder,"På fredag er der fest på Sørens skole, og han vil gerne deltage. <br><br>Han drikker ikke alkohol og er nervøs for, at hans holdkammerater vil synes, at det er underligt.","<i>Hvad synes I, at Søren skal gøre?<br><br>Hvad er jeres forhold til alkohol?</i>",43
placeholder,"Sasha har tidligere haft en depression. <br><br>Hun er i tvivl, om hun skal fortælle det til sin underviser, da hun stadigvæk har nogle symptomer, men hun vil gerne have en ny start.","<i>Hvad vil I råde Sasha til? <br><br>Hvem kan I tale med, om psykiske problemer, på jeres skole?</i>",44
placeholder,Line har ordblindhed og adhd. <br><br>Hun er i tvivl om hun skal fortælle sine holdkammerater om hendes diagnoser.,"<i>Hvad ville I gøre, hvis I var Line? <br><br>Hvad kan det betyde for en elev, at de har ordblindhed og/eller ADHD?</i>",45
placeholder,"Maria er genert og er derfor sjældent med til de sociale aktiviteter på skolen, selvom hun gerne vil. ","<i>Hvad vil I råde Maria til? <br><br>Hvad ville I gøre, hvis Maria gik på jeres hold?</i>",46
placeholder,"Signe glæder sig til at blive færdig med uddannelsen.<br><br>Hun vil gerne gøre det godt på uddannelsen, men har svært ved at finde motivationen frem til det sidste år.","<i>Hvad kan Signe gøre, for at gennemføre uddannelsen?<br><br>Hvad glæder I jer til ved at blive færdige?</i>",47
placeholder,"Sofie opdager at en holdkammerat, pludselig er stoppet med at komme til undervisningen. <br><br>Hun er i tvivl, om hun skal kontakte ham.","<i>Bør Sofie kontakte ham? Hvorfor? Hvorfor ikke? <br><br>Hvem kan I tale med på jeres skole, hvis der er elever, I er bekymrede for?</i>",48
placeholder,"Sanne er i tvivl om, hvordan hun skal få fat i en mentor på skolen. <br><br>Hun har ADHD og derfor brug for hjælp til at strukturere sin tid, men hun er nu ved at give op. ",<i>Hvad kan Sanne gøre? <br><br>Hvordan kan I komme i kontakt med en mentor på jeres skole?</i>,49
placeholder,"Lise får ofte lavere karaktere end sine holdkammerater. <br><br>Det frustrerer hende, for hun bruger meget tid på sine lektier og gør meget for at være aktiv i timerne.",<i>Er det vigtigt for jer at få gode karakterer? Hvorfor? Hvorfor ikke?<br><br>Hvordan kan I skabe en god kultur omkring karakterer?</i>,50
