category,context,questions,nr
placeholder,"Jens har brug for meget struktur og mange gentagelser for at kunne følge med i og få noget ud af undervisningen.<br><br>Jens reagerer med vrede og aggressiv adfærd, når han ikke forstår opgaven. Han fylder i klassen, da han kræver meget opmærksomhed. Samtidig påvirker hans adfærd andre sårbare elever, der fx har angst.<br><br>","<i>Hvordan kan man hjælpe elever med at få overblik over deres opgaver?<br><br>Hvad kan man gøre for at forebygge denne problematik? <br><br>Er der noget, man kan gøre for at hjælpe Jens og klassekammeraterne? <br><br></i>",11
placeholder,"Clara har angst og dukker sjældent op, når hun skal fremlægge, hvilket går ud over hende selv og klassekammeraterne.<br><br>Hun har højt fravær, og virker til at have svært ved at indgå socialt.  <br><br>","<i>Har I 2-3 gode råd til, hvordan man bedst støtter elever med angst?<br><br>Hvordan gør man klassefællesskabet til et trygt rum for alle elever?<br><br><br><br></i>",12
placeholder,"Hans har autisme. Han siger tit, at det går godt, og at han ikke har nogen problemer. Han har dog - som den eneste i klassen - ikke fået søgt om en læreplads i tide.<br><br>Han vil gerne være som alle de andre, og han har svært ved at erkende og gøre noget ved, når har brug for hjælp.<br><br><br><br>","<i>Hvordan støtter man bedst elever i processen med at søge en læreplads?<br><br>Hvordan opdager man dem, som ikke selv siger, at de har brug for hjælp?<br><br>Hvordan hjælper man elever, som ikke erkender, at de har brug for hjælp?<br><br><br><br></i>",13
placeholder,"Sofie er stille og indadvendt, og hun undgår så vidt muligt alle former for gruppearbejde. Når hun ikke kan undgå gruppearbejdet kan hun blive helt passiv uden at sige noget.<br><br>Når hun engang i mellem er aktiv i gruppearbejdet ignorerer hun ofte, hvad de andre siger og står meget fast på sin egen overbevisning fx om hvordan en problemstilling skal løses.<br><br>","<i>Har I 2-3 råd til, hvordan man bedst skaber det gode gruppearbejde?<br><br>Hvordan kan man motivere elever som Sofie til at indgå i gruppearbejde?<br><br>Hvordan afgør man, hvem der (ikke) kan indgå i gruppearbejde sammen?<br><br></i>",14
placeholder,"Kaj har svært ved at danne sig et overblik over, hvad han skal i løbet af ugen. Han har altid haft svært ved at koncentrere sig og bliver hurtig træt. <br><br>Kaj har en søn på 3 år, der tager meget af hans opmærksomhed, og Kaj oplever ofte, at han ikke har energi til at forberede sig til skolen og få lavet sine lektier. <br><br>","<i>Hvordan plejer I at hjælpe elever, som har svært ved at få lavet lektier?<br><br>Hvordan hjælper man elever med at få skabt struktur over hverdagen?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter elever med børn?<br><br></i>",15
placeholder,"Hanin har en depression. Det har været et hårdt år for hende, og nu er hendes kæreste lige gået fra hende. <br><br>Hun lukker sig meget ind i sig selv og har svært ved at passe sin skolegang. Dog kan hun godt lide sit fag og glæder sig til at få en læreplads.<br><br>","<i>Kan I genkende situationen fra andre elever?<br><br>Har I 2-3 gode råd til, hvordan man bedst støtter elever med depression?<br><br>Hvordan kan man hjælpe hende med at trives, så hun ikke dropper ud?<br><br></i>",16
placeholder,"Lars er tidligere gået ned med stress. Han døjer stadig med eftervirkninger såsom hjernetåge, træthed og koncentrationsbesvær. <br><br>Lars ønsker hjælp til at strukturere sin tid bedst muligt, så han undgår at gå ned med stress igen. <br><br>","<i>Har I 2-3 gode råd til, hvordan man bedst støtte tidligere stressramte elever?<br><br>Hvordan kan man som underviser eller mentor være med til, at forebygge mod stress hos elever? <br><br></i>",17
placeholder,"Pernille har meget svært ved at indgå i sociale fællesskaber. <br><br>Pernille føler sig ensom, og hun ville ønske, at hun havde nogle flere venner i klassen.<br><br>",<i>Hvordan kan man hjælpe elever som Pernille med at falde bedre til i klassen?<br><br>Kan hendes underviser gøre noget for at hjælpe hende godt på vej?<br><br></i>,18
placeholder,"Helga bor for sig selv, da hendes familie bor på Island. Helga har netop fået tilbudt SPS, da hun får hyppige angstanfald og ikke trives særligt godt. <br><br>Hendes mentor føler sig magtesløs og har svært ved at finde ud af, hvordan hun kan hjælpe, da Helga ofte aflyser støttetimerne med kort varsel.","<i>Hvordan kan man som underviser eller mentor motivere elever som Helga til at tage imod støtten? Hvad er 2-3 gode råd til underviser og mentor i arbejdet med angst? Er der nogen, mentor bør kontakte i denne situation fx kolleger, forældre?<br><br></i>",19
placeholder,"Mohammed er ordblind og lider af slem eksamensangst. Hans første skriftlige prøve nærmer sig, og han er meget nervøs for, at han ikke består.<br><br>Mohammed har fået sin IT-rygsæk, men synes ikke at det fungerer for ham, da han har svært ved at forstå, hvordan han skal bruge hjælpemidlerne.<br><br>","<i>Hvordan hjælper vi elever med at få gavn af IT-hjælpemidlerne?<br><br>Hvordan kan mentorer og undervisere hjælpe ordblinde elever med eksamensangst? Kan SPS-hold støtte elever med eksamensangst? Hvis ja, hvordan?</i>",20
placeholder,"Karoline har ADHD. Hun har et barn på 7 år derhjemme, som tager det meste af hendes opmærksomhed og energi. <br><br>Karoline har længe ønsket sig en erhvervsfaglig uddannelse, men er blevet i tvivl om, hvorvidt det er det rigtige for hende. Hun synes, at skoleperioderne er meget hårde at komme igennem.<br><br>","<i>Hvad er vigtigt, når man skal støtte psykisk udfordrede elever med børn? Som underviser eller mentor? Har du et konkret eksempel, hvor det gik godt? Hvornår er det (ikke) OK, at lade en elev melde sig ud?</i>",21
placeholder,"Storm er nonbinær og ønsker, at alle siger “de/dem” som pronomen i stedet for “han/ham” . <br><br>Nogle af Storms klassekammerater siger alligevel “han” om Storm, hvilket gør Storm meget frustrereret og ked af det.","<i>Hvad er jeres erfaringer med elever, der identificerer sig som nonbinære?<br><br>Hvad er 2-3 råd til at få elever som Storm til at trives socialt i klassen?<br><br>Er der behov for en fælles retningslinje i teamet om dette?<br><br></i>",22
placeholder,"Roman har autisme. Han har flere års erfaringer fra forskellige jobs, men er startet på uddannelsen efter en periode som arbejdsløs.<br><br>På skolen sidder han ofte for sig selv med hovedtelefoner på, og det er svært at få øjenkontakt med ham. I støttetimerne siger han ikke meget. <br><br>","<i>Hvornår og hvordan støtter mentor og underviser bedst elever som Roman? Hvornår er det OK, at elever IKKE indgår i de sociale fællesskaber?</i>",23
placeholder,"Christina har OCD, men har ikke fortalt om det til andre elever.<br><br>Flere fra klassen har dog bemærket, at hun ofte vasker sine hænder mange gange om dagen. Hun savner at være en del af fællesskabet i klassen, men har svært ved at snakke med de andre.","<i>Hvordan støtter man elever, der ikke er åbne om deres diagnose(r)?<br><br>Hvordan støtter man bedst elever med tvangshandlinger eller lignende?<br><br></i>",24
placeholder,"Sune blev syg op til sin første mundtlige eksamen og skal nu op til sygeeksamen. <br><br>Sune er meget nervøs og er bange for, at han går helt i sort, når han skal ind til eksamen.<br><br>","<i>Hvad er praksis på skolen, når elever skal sygemelde sig til en eksamen?<br><br>Hvordan støtter man bedst elever, som er nervøse op til eksamen? Har du eksempler, hvor din støtte af elever i eksamenssituation er gået særligt godt?<br><br><br><br></i>",25
placeholder,"Emil vil rigtig gerne gennemføre sin uddannelse. Han er dog udfordret ved, at han har et stofmisbrug og lider af selvmordstanker.<br><br>Hans underviser mener ikke, at det er forsvarligt at have ham i klassen, da hun er bange for, at han kan finde på at gøre skade på sig selv. Hun ved samtidigt ikke, hvor hun skal søge hjælp, og hvordan hun hjælper Emil bedst. <br><br>","<i>Hvem kontakter man, hvis en elev vil gøre skade på sig selv eller andre?<br><br>Er der behov for en fælles retningslinje i teamet om dette? <br><br>Hvordan støtter man bedst elever som Emil?</i>",26
placeholder,"Stine har angst. Hun har meget fravær og klarer sig ikke godt i skolen.<br><br>Dog går det meget bedre, når Stine er ude på lærepladsen, hvor hun trives og får ros. <br><br>","<i>Kan I genkende situationen fra andre elever?<br><br>Har I bud på, hvorfor der er forskel på, hvor Stine trives?<br><br>Hvordan kan man hjælpe hende socialt og fagligt i skolen?</i>",27
placeholder,"Mehran har modtaget individuel støtte på GF2, og det er nu tid til at evaluere samtaleforløbet inden han starter op på hovedforløbet. <br><br>Samtaleforløbet er gået godt, men han har ofte svært ved selv at sætte ord på, hvad han har brug for hjælp til.","<i>Hvordan evaluerer man bedst et samtaleforløb sammen med en elev?<br><br>Har du et konkret eksempel, hvor evaluering sammen med en elev er gået særligt godt? <br><br>Er der andre personer, der kan være nyttige at inddrage i evalueringen? fx forældre, undervisere<br><br><br><br></i>",28
placeholder,"Albert modtager SPS, da han er ordblind og psykisk sårbar. Han fandt først ud af, at han var ordblind ifm. skolestart og har både brug for en introduktion af IT-redskaberne til ordblinde samt løbende støtte.<br><br>Hans mentor vurderer, at Albert godt kan deltage i et SPS-hold med flere elever, som også skal sættes ind i de læse- og skriveredskaberne. Albert er dog skeptisk og vil helst have al støtte individuelt.<br><br>","<i>Hvad er fordele og ulemper ved at bruge SPS-hold?<br><br>Hvordan vurderer man bedst om elever vil få gavn af et SPS-hold?<br><br>I hvilke situationer er det bedst, at eleven kun får individuel støtte?<br><br></i>",29
placeholder,"Katinka har angst og har svært ved at indgå i et klassefællesskab, da store forsamlinger gør hende utryg. Hun vil gerne have hjælp, så hun kan trives bedre i skolen.<br><br>Katinka har kun modtaget individuel SPS, men hendes mentor overvejer at give SPS i undervisningen, for at få et bedre indtryk af Ulrikke i klassen og klassedynamikken generelt.<br><br>","<i>Hvordan bruges SPS i undervisningen i dag? Hvad virker godt/skidt?<br><br>Hvordan samabejder mentor med underviser? Hvad må deles om eleven?<br><br>Hvordan ville du være med i undervisningen, hvis du var Katinkas mentor?<br><br></i>",30
